"","source","target","weight","Type"
"832",19,229,1,"Undirected"
"833",20,229,1,"Undirected"
"834",23,230,1,"Undirected"
"835",27,231,1,"Undirected"
"836",2,232,1,"Undirected"
"837",7,232,1,"Undirected"
"838",11,232,2,"Undirected"
"839",14,232,1,"Undirected"
"840",27,232,1,"Undirected"
"841",27,233,1,"Undirected"
"842",27,234,1,"Undirected"
"843",28,235,2,"Undirected"
"844",3,236,1,"Undirected"
"845",4,236,1,"Undirected"
"846",6,236,1,"Undirected"
"847",8,236,6,"Undirected"
"848",9,236,4,"Undirected"
"849",11,236,1,"Undirected"
"850",24,236,1,"Undirected"
"851",28,236,5,"Undirected"
"852",1,237,3,"Undirected"
"853",10,237,6,"Undirected"
"854",11,237,1,"Undirected"
"855",14,237,1,"Undirected"
"856",24,237,2,"Undirected"
"857",1,238,1,"Undirected"
"858",10,238,2,"Undirected"
"859",10,239,1,"Undirected"
"860",10,240,1,"Undirected"
"861",3,241,1,"Undirected"
"862",7,241,1,"Undirected"
"863",10,241,1,"Undirected"
"864",10,242,4,"Undirected"
"865",19,242,1,"Undirected"
"866",13,243,3,"Undirected"
"867",10,244,1,"Undirected"
"868",13,244,1,"Undirected"
"869",19,244,2,"Undirected"
"870",20,244,3,"Undirected"
